Date,Dislikes,Image,Likes,Name,Rating,RelativeDate,Review,ReviewId,Title,URCount,Verified
2017-03-29 11:33:52,0,https://www.gravatar.com/avatar/5e6b243edeea10829a149258a6fedef1?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,risin samuel,100,1 day ago,"Wonderful movie,had an amazing experience @ beyond my expectations..no words are enough to explain...i hope itz a new begining in malayalam film industry..",17651174,Take Off,1,N
2017-03-29 11:20:49,0,https://www.gravatar.com/avatar/b306e1fd97c9e69b208dcf670dd76499?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Deekshith,100,1 day ago,great movie .. brilliant stuff must watch movie. hats off to fahad and paravathy ? happy to see em on screen? back with a stunning performance. kudoos,17650651,Great movie,1,N
2017-03-29 11:17:12,0,https://www.gravatar.com/avatar/62efc534a230927ff171f9c9d548f47b?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Rahul,100,1 day ago,Parvathi does a stunning performance and it makes her outstanding. Should really appreciate the the whole crew  members for the excellent movie they deliver.,17650489,Proud to watch a malayalam movies which have Hollywood stranded. Excellent making.,1,N
2017-03-29 11:16:55,0,https://www.gravatar.com/avatar/9e7e0cb7ce8f49d7a28292760148fb8f?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Bibin,100,1 day ago,Parvathi has done a great and realistic acting on this movie . I think each and every moment is wonderful in this movie. I salute every one worked behind this movie,17650480,Worth watching,2,Y
2017-03-29 11:13:55,0,https://www.gravatar.com/avatar/235f02b621071f880199f5922eb7b3b0?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,M.G. Annad,100,1 day ago,"Excellent direction and screenplay, keeps us in our toes throughout the movie. Clearly Parvathy is the hero of the movie, I would expect a national award for her and Kunchako Boban and Fasil's acting was very good, acted with the limits of their character. nnA fun movie to watch with the whole family. Great Direction, Acting, Screenplay and BGM. nnKudos to everybody involved with this movie. I wish Baby Chetha (Mahesh Prathi...) was used better in this movie, he is  a great actor.",17650358,Take Off Movie - Awesome,4,N
2017-03-29 11:11:45,0,https://www.gravatar.com/avatar/5ae2153633718655995fb936aff238ea?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Neo,100,1 day ago,Realistic picturisation.nNo heroism like airlift. nMovie in similar lines.nEverybody acted well.,17650249,Very good movie,1,N
2017-03-29 11:08:22,0,https://www.gravatar.com/avatar/932a6cbdb09c3a1a7a0b9f4d7671e7f3?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Riyaz,100,1 day ago,"Good story, script n dialogues. Whole hearted effort from lead actors.The filming has been outstanding, the meticulous effort of the director and the entire technical crew is evident.The camera and background score are very impressive. It's not just a rescue movie, it's a complete package. 8.5/10 Spread the word and please watch in theaters.",17650106,Family Thriller Entertainer,5,N
2017-03-29 10:36:10,13,https://graph.facebook.com/1619053638124838/picture?type=square,0,Vinayan,40,1 day ago,"Normal award category movie...Only hope is , the movie is based on real events...nneutral one.Hope the movie wins few of the awards. There is no need to have 3-heroes and parvathy as a heroine...Not much there include everyone...",17648689,"Award category movie.....Better to say it as a ""Documentary film""",1,Y
2017-03-29 10:33:28,0,https://www.gravatar.com/avatar/c7166dca952aa7cb1836330590761bc1?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,1,Bharathi,100,1 day ago,a very well taken true story. after u watched the movie your perspective about our country will change. don't miss a must watch. Parvathy nailed the movie,17648867,Feel good,1,Y
2017-03-29 10:29:23,0,https://www.gravatar.com/avatar/d2e377f3a9feed6f9235371f15e51f7f?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,ARUN,90,1 day ago,This movie is very very different of story making of malayalam filim industry such as movie scrept writting&direction is very good parvathy is real acting on this camera focusing,17648717,So nice good movie,1,N
2017-03-29 10:19:33,0,https://www.gravatar.com/avatar/203359154a1807db2c3813be137b4fee?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Sujith,100,1 day ago,I wad bowled over by the quality of the visuals and narrative of the movie. not many films recieve standing ovation in theatres. This is one such. I am really proud that such movies are made in malayalam. commendable performances by Fahad and Parvathi. Kunchacko was also good!,17648371,Awesome movie,5,Y
2017-03-29 09:59:27,0,https://graph.facebook.com/635553036521634/picture?type=square,0,Davood,80,1 day ago,"Did justice to the genre, but all the cliche's of genre prevailed in this one too. Esp similarity with airlift and all..sentiments and patriotism at predicted points..i rate the 1st half as an extra ordinary one with so much of life in it..Parvathy was the show stealer esp in the first half where chakochan and other cast did justice to their roles..fahad had nothing much to do but his screen presence was commentable.Cuts & shots were top notch and overall a decent debut for director and perfect tribute  to the revolutionary Rajesh Pillai.",17647347,Take Off (U),1,Y
2017-03-29 09:02:05,0,https://www.gravatar.com/avatar/34f79e9d7ce6ab68ed0c045018a26c50?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Tinu,100,1 day ago,full credit to Parvathy. she is a amazing actress ever i seen. Direction and cinematography. congrats mahesh narayan and sanu John Varghese.,17645730,class movie,1,Y
2017-03-29 08:57:19,0,https://www.gravatar.com/avatar/ae74dcfacd782a604653a640d678dffc?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Alex,90,1 day ago,"Takes Malayalam Industry to hights... Really superb movie. Fahad has done well. But Parvathy.. u are just awesome. U are still living in our mind as Sameera. How many variety movies u have done. BANGLORE DAYS, ENM, CHARLIE, TAKE OFF. Proving that u are the best actress in Mollywood at present.",17645495,Really good movie,1,N
2017-03-29 08:49:58,0,https://www.gravatar.com/avatar/d8cc144e9b4ac82204a0c454929da86a?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Vinayan,100,1 day ago,After a long time watching such a kind in malayalam... very thrilling like traffic...good pace and excellent screenplay...Gopi sundar as usual rocked with his BGM... parvathy will bag an award again so sure...chackochan and Fahad at their best performance this year...overall 11/10,17645266,Marana MASS?,1,Y
2017-03-29 08:29:16,0,https://www.gravatar.com/avatar/d9c8090feb6566370f165b1047f0423d?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,2,Krishnadas,100,1 day ago,"?????? ???. ????????? ????????? ???????. ????????????? ??????. ?????? ????. ??????????, ????, ?????? ??? ????????? ?????????. ???????. ?????? ???????????? ???? ???? ???? ???????????????",17644697,?????? ????. Congrats ????? ??? membersinum,1,N
2017-03-29 08:26:41,0,https://www.gravatar.com/avatar/08ec76fd07b1cd23e09ce68cbb67c62c?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,michael,100,1 day ago,well taken movie . in this movie malayalam has almost arrived . could have deleted the songs . very realistic . kunchacko parvathy fahadh faasil commentable performance. Director also did a great job .,17644635,malayalam movie has arrived,11,Y
2017-03-29 08:04:51,0,https://www.gravatar.com/avatar/c03564d4c6655c8c55220b521622e724?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,0,Pavithran,100,1 day ago,A power packed performance by Parvathy and Fahad Fazil and co. A movie which narrates a real life incidence where nurses caught by ISIS was made to be released and brought to India. a must watch for all.,17644097,A wonderful movie,1,Y
2017-03-29 07:58:36,2,https://www.gravatar.com/avatar/ed3e9585dbbf6ad92e3c82798fd01a39?s=50&d=https%3A%2F%2Fin.bmscdn.com%2Fin%2Fsynopsis-new%2Fnoimguser.jpg&r=g,6,Dipin,80,1 day ago,"Subtle performances,taut direction and a delightful screenplay make this a winner all the way.Watch it for Parvathy's sheer bravura performance as she is a tour de force to reckon with!Hopefully Mollywood would take a cue and churn out films like these! :)",17643970,A must watch!,30,Y
